<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAAU,20191104,15.07,15.09,15.02,15.05,103100
AADR,20191104,50.93,50.93,50.44,50.77,8600
AAMC,20191104,13.21,13.21,13.21,13.21,500
AAU,20191104,0.52,0.52,0.5,0.5009,173200
ACES,20191104,31.48,31.64,31.37,31.429,7700
ACIO,20191104,25.1999,25.21,25.164,25.164,7700
ACSG,20191104,27.5673,27.5673,27.5232,27.532,1300
ACSI,20191104,34.8418,34.87,34.8126,34.8655,2400
ACU,20191104,20.96,21.06,20.7,20.86,3100
ACWF,20191104,30.23,30.2614,30.21,30.2345,11300
ACWV,20191104,96.07,96.07,95.19,95.28,890300
ACY,20191104,6.5,6.599,6.5,6.599,1700
AE,20191104,31,31.3,30.44,30.44,6500
AEF,20191104,7.2,7.22,7.1979,7.22,89400
AFIF,20191104,9.68,9.7178,9.675,9.695,2400
AFK,20191104,20.71,20.97,20.68,20.938,11500
AFTY,20191104,17.89,17.99,17.89,17.9219,14600
AGE,20191104,1.65,1.65,1.5401,1.59,83100
AGG,20191104,112.71,112.72,112.59,112.65,2723800
AGGE,20191104,19.3643,19.37,19.3643,19.37,100
AGGP,20191104,19.6912,19.6984,19.68,19.695,2700
AGGY,20191104,52.24,52.24,52.18,52.21,85200
AGQ,20191104,33.12,33.235,32.5812,32.84,236000
AGT,20191104,18.96,19.06,18.94,19.06,3700
AGZ,20191104,115.99,115.99,115.88,115.9,33300
AIEQ,20191104,26.92,26.98,26.7656,26.79,20300
AIIQ,20191104,25.61,25.61,25.46,25.5542,6500
AIM,20191104,0.5595,0.5595,0.503,0.5166,156600
AINC,20191104,24.65,24.65,22.61,22.61,21700
AIRI,20191104,1.2,1.2,1.1521,1.1748,10200
AKG,20191104,0.885,0.9172,0.871,0.8825,147700
ALFA,20191104,56.868,56.9381,56.86,56.8921,900
ALO,20191104,0.65,0.655,0.62,0.6386,113400
ALTS,20191104,37.73,37.73,37.7003,37.7003,300
AMBO,20191104,1.26,1.37,1.26,1.37,1300
AMJ,20191104,22.11,22.41,22.11,22.32,1488000
AMJL,20191104,10.96,11,10.76,10.876,13500
AMLP,20191104,8.68,8.78,8.68,8.75,15830600
AMOM,20191104,26.0692,26.0692,26.0692,26.0692,100
AMPE,20191104,0.38,0.4,0.36,0.3893,466800
AMS,20191104,2.39,2.39,2.39,2.39,1600
AMU,20191104,13.93,14.1,13.93,13.9985,176300
AMUB,20191104,14.016,14.016,14.016,14.016,0
AMZA,20191104,4.57,4.66,4.55,4.64,747900
ANGL,20191104,29.28,29.32,29.24,29.31,303500
AOA,20191104,56.56,56.668,56.46,56.57,59500
AOIL,20191104,25.5366,25.5366,25.5366,25.5366,0
AOK,20191104,36.01,36.01,35.86,35.86,152800
AOM,20191104,39.71,39.73,39.62,39.71,99900
AOR,20191104,46.98,47.0301,46.92,46.96,139300
APT,20191104,3.59,3.638,3.58,3.58,10200
ARCM,20191104,100.105,100.105,100.105,100.105,100
ARGT,20191104,21.99,22.2046,21.99,22.14,39700
