Symbol,Name,Last,Change,%Chg,"5D %Chg",Open,High,Low,Volume,Time
ADVT,"Advantis Corp",0.0024,0.0004,+20.00%,+300.00%,0.0018,0.0024,0.001,1127863,"11:42 ET"
UNSS,"Universal Solar Technology Inc",0.0193,-0.0022,-10.23%,+279.37%,0.0215,0.0268,0.017,3581512,"12:10 ET"
GFOO,"Genufood Energy",0.0003,0.0001,+50.00%,+200.00%,0.0003,0.0003,0.0003,101000,"10:08 ET"
FTWS,"Flitways Technology Inc",0.0004,0.0001,+33.33%,+100.00%,0.0003,0.0004,0.0002,28741900,"12:04 ET"
MYDX,"Mydx Inc",0.0002,0.0001,+100.00%,+100.00%,0.0001,0.0002,0.0001,24363959,"11:42 ET"
TGRO,"Tiger Oil and Energy Inc",0.0001,0,0.00%,+100.00%,0.0001,0.0002,0.0001,20620000,"12:05 ET"
ONTX,"Onconova Therapeutic",0.355,0.065,+22.41%,+93.62%,0.37,0.39,0.33,28815102,"12:24 ET"
ACCR,"Access Power Inc",0.008,0.003,+60.00%,+73.33%,0.0055,0.008,0.005,854698,"11:51 ET"
LEAS,"Strategic Asset Leasing Inc",0.0005,0.0001,+25.00%,+66.67%,0.0004,0.0005,0.0003,13693909,"11:49 ET"
STHC,"Southcorp Capital I",0.0005,0.0002,+66.67%,+66.67%,0.0004,0.0005,0.0004,13651334,"11:32 ET"
AFTM,"Aftermaster Inc",0.0065,0.0022,+51.16%,+54.76%,0.0063,0.0065,0.005,190100,"11:34 ET"
GEGI,"Genesis Electronics",0.0003,0.0002,+200.00%,+50.00%,0.0003,0.0003,0.0003,1700000,"09:30 ET"
SOUPQ,"Soupman Inc",0.0007,0.0002,+40.00%,+50.00%,0.0005,0.0007,0.0005,50571,"11:55 ET"
MTNB,"Matinas Biopharma Hl",1.82,0.27,+17.42%,+48.41%,1.6,1.9,1.58,3889657,"12:25 ET"
VRUS,"Verus International Inc",0.0215,0.0006,+2.87%,+45.27%,0.0235,0.0235,0.0202,1998088,"12:09 ET"
ADXS,"Advaxis Inc",0.7411,0.1111,+17.63%,+44.89%,0.64,0.77,0.64,9734784,"12:25 ET"
MGON,"Megola Inc",0.005,0.0004,+8.70%,+44.12%,0.0044,0.005,0.0044,950001,"11:52 ET"
TTCM,"Tautachrome Inc",0.0105,0.0001,+0.96%,+43.84%,0.0115,0.0115,0.0105,5485405,"11:58 ET"
SAVA,"Cassava Sciences Inc",2.15,0.35,+19.44%,+42.41%,2.17,2.68,2.03,26619815,"12:25 ET"
SMCE,"Smc Recordings Inc",0.0061,0.0008,+15.09%,+38.30%,0.004,0.0065,0.004,1968229,"12:05 ET"
LXRX,"Lexicon Pharmaceutcl",4.88,0.65,+15.37%,+36.54%,4.25,5.13,4.2,2913154,"12:25 ET"
GRCV,"Grand Capital Ventures Inc",0.0004,0.0001,+33.33%,+33.33%,0.0004,0.0004,0.0004,15001,"09:30 ET"
JPEX,"Jasper Explorations",0.0004,0.0001,+33.33%,+33.33%,0.0004,0.0004,0.0004,31728284,"11:09 ET"
XREG,"Xr Energy Inc",0.0004,0.0001,+33.33%,+33.33%,0.0003,0.0004,0.0003,28805097,"10:09 ET"
OZSC,"Ozop Surgical Corp",0.0026,0.0006,+30.00%,+30.00%,0.0025,0.003,0.0025,301,"10:21 ET"
TRQ,"Turquoise Hill Resources Ltd",0.5838,0.0138,+2.42%,+29.69%,0.57,0.62,0.57,5433979,"12:24 ET"
MDMN,"Medinah Minerals Inc",0.0007,0,0.00%,+28.57%,0.0005,0.0009,0.0005,1544758,"11:47 ET"
QUIK,"Quicklogic Corp",0.32,-0.01,-3.03%,+27.42%,0.35,0.38,0.32,710362,"12:17 ET"
SRRA,"Sierra Oncology Inc",0.4405,0.0605,+15.92%,+26.94%,0.49,0.53,0.43,4625891,"12:23 ET"
IGEX,"Indo Global Exchanges Pte Ltd",0.001,0.0001,+11.11%,+25.00%,0.0009,0.0011,0.0008,67762555,"12:10 ET"
CHK,"Chesapeake Energy Corp",0.7481,0.0281,+3.90%,+24.49%,0.72,0.76,0.72,27478371,"12:24 ET"
YTEN,"Yield10 Bioscience Inc",0.1516,0.0216,+16.62%,+23.82%,0.14,0.16,0.13,3725540,"12:25 ET"
VRAY,"Viewray Inc",4.06,0.04,+1.00%,+23.49%,4,4.3,4,1809381,"12:23 ET"
SEEL,"Seelos Therapeutics Inc",1.07,0.1,+10.31%,+22.24%,1.05,1.09,1,405062,"12:24 ET"
TTNP,"Titan Pharma",0.18,0.01,+5.88%,+21.64%,0.18,0.19,0.17,2614656,"12:20 ET"
MILV,"Mistral Ventures Inc",0.003,0.0003,+11.11%,+20.83%,0.0027,0.0036,0.0027,2211383,"12:04 ET"
PLPL,"Diamond Ranch Foods",0.0006,0.0001,+20.00%,+20.00%,0.0005,0.0007,0.0005,103931,"11:33 ET"
ENIC,"Enersis Chile S.A. ADR",4.42,0.1,+2.31%,+19.23%,4.29,4.49,4.28,1138554,"12:25 ET"
CJJD,"China Jojo Drugstore",1.65,0.05,+3.12%,+19.00%,1.6,1.7,1.56,425291,"12:20 ET"
SRNE,"Sorrento Therpt",3.37,0.11,+3.37%,+18.84%,3.35,3.54,3.32,2670511,"12:25 ET"
MLSS,"Milestone Scientific",1.54,0.03,+1.99%,+17.42%,1.54,1.6,1.43,575475,"12:08 ET"
AKS,"AK Steel Holding Corp",3.255,0.085,+2.68%,+17.21%,3.19,3.32,3.17,8595928,"12:25 ET"
SEAC,"Sea Change Intl IN",4.05,0.05,+1.25%,+17.14%,4.04,4.14,3.96,702161,"12:21 ET"
ECDP,"Eco Depot Inc",0.0007,0.0001,+16.67%,+16.67%,0.0005,0.0007,0.0005,13635003,"11:18 ET"
GSAT,Globalstar,0.45,0.01,+2.27%,+15.90%,0.44,0.46,0.44,673953,"12:19 ET"
LJPC,"LA Jolla Pharma",3.15,0.09,+2.94%,+15.33%,3.06,3.27,3.03,280218,"12:13 ET"
XOG,"Extraction Oil & Gas Inc",1.66,0.06,+3.77%,+15.28%,1.57,1.69,1.55,773215,"12:08 ET"
CAVR,"Cavu Resources Inc",0.0046,0.0002,+4.55%,+15.00%,0.0044,0.0048,0.0041,508639,"11:08 ET"
LHSIF,"Liberty Health Sciences Inc",0.5575,0.0075,+1.36%,+13.73%,0.524,0.5659,0.524,416896,"12:07 ET"
GGII,"Green Globe Intl Inc",0.0001,0,0.00%,0.00%,0.0002,0.0002,0.0001,100000,"12:06 ET"
"Downloaded from Barchart.com as of 12-06-2019 11:25am CST"
