Symbol,Name,"Wtd Alpha",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
AXSM,"Axsome Thera",+658.00,47.43,1.82,+3.99%,47.68,1.94,"+1,382.19%",12/04/19
RLMD,"Relmada Therapeutics Inc",+431.20,47.18,12.72,+36.91%,48,4.4,+925.65%,12/04/19
EVER,"Everquote Inc Cl A",+370.30,37.16,-0.89,-2.34%,38.43,4.05,+518.30%,12/04/19
EIDX,"Eidos Therapeutics Inc",+342.00,58.85,-0.94,-1.57%,60.51,11.15,+330.50%,12/04/19
ARWR,"Arrowhead Pharma",+336.20,66.46,-2.2,-3.20%,73.72,10.41,+391.20%,12/04/19
ADVM,"Adverum Biotechnlgs",+320.60,11.34,0.64,+5.98%,16.38,2.81,+210.68%,12/04/19
CDLX,"Cardlytics Inc",+309.40,63.94,2.22,+3.60%,64.42,9.8,+355.74%,12/04/19
KOD,"Kodiak Sciences Inc",+299.60,73.41,24.21,+49.21%,74.5,5.65,+865.92%,12/04/19
RCEL,"Avita Medical Limited American Depositary Shares",+293.50,8.56,0.72,+9.18%,9.82,1.06,+601.64%,12/04/19
APPS,"Digital Turbine",+292.60,8.26,0,0.00%,9.13,1.61,+313.00%,12/04/19
HEBT,"Hebron Technology Co. Ltd",+289.20,6.28,0.68,+12.14%,6.41,0.5,+613.64%,12/04/19
MDCO,"Medicines Company",+288.30,84.07,-0.03,-0.04%,84.3,16.69,+289.57%,12/04/19
ZYME,"Zymeworks Inc",+270.20,44.09,1.05,+2.44%,45.58,10.72,+244.18%,12/04/19
KRMD,"Repro Med Sys Inc",+246.00,4.73,-0.13,-2.67%,5.01,1.35,+215.33%,12/04/19
JCS,"Commun Systems Inc",+244.30,7.83,-0.09,-1.14%,8.2,2.03,+244.93%,12/04/19
SBGL,"Sibanye Gold Ltd ADR",+229.30,8.64,-0.19,-2.15%,8.88,2.32,+233.59%,12/04/19
ROKU,"Roku Inc",+227.00,150.58,5.95,+4.11%,176.55,26.3,+278.53%,12/04/19
BASI,"Bioanalytical Syst",+208.50,4.45,0.02,+0.45%,5.43,1.18,+224.82%,12/04/19
CNST,"Constellation Pharmaceuticals Inc",+200.00,46,2.06,+4.69%,49,4.01,+675.72%,12/04/19
PLMR,"Palomar Holdings Inc",+196.10,50.56,0.31,+0.62%,55.67,18.06,+166.25%,12/04/19
IDN,"Intellicheck Mobilisia",+193.10,6.83,-0.07,-1.01%,6.98,1.97,+214.75%,12/04/19
PFNX,"Pfenex Inc",+188.20,10.86,0.32,+3.04%,11.39,3.13,+200.83%,12/04/19
